title,address,link
Nour Stores (Mostafa Kamel ),"٢٤ احمد شوقي - عمارات الضباط عمارات الضباط - مصطفي كامل, Sidi Gaber, Alexandria Governorat",https://www.google.com/maps/place/Nour+Stores+(Mostafa+Kamel+)/data=!4m7!3m6!1s0x14f5c4906a18d903:0x40b15f79a4c072a8!8m2!3d31.2268548!4d29.9480389!16s%2Fg%2F11f3s08445!19sChIJA9kYapDE9RQRqHLApHlfsUA?authuser=0&hl=en&rclk=1
MENA FLORENCE,"3 Al Farek Ismail Srhank, San Stefano, El Raml 1, Alexandria Governorate 5451112",https://www.google.com/maps/place/MENA+FLORENCE/data=!4m7!3m6!1s0x14f5dacd1f0386e5:0xe1a92c467c344f0c!8m2!3d31.2466002!4d29.9756577!16s%2Fg%2F11c6w162_c!19sChIJ5YYDH83a9RQRDE80fEYsqeE?authuser=0&hl=en&rclk=1
Bazari,"39 Ibn Okil, Al Qasaei Qebli, El Raml 2, Alexandria Governorate 5447448",https://www.google.com/maps/place/Bazari/data=!4m7!3m6!1s0x14f5db5908c974e1:0xfa898c3a17352fd6!8m2!3d31.2450726!4d29.9815651!16s%2Fg%2F11qh72092y!19sChIJ4XTJCFnb9RQR1i81FzqMifo?authuser=0&hl=en&rclk=1
المنتجات المدنية لمصانع الانتاج الحربي,"27 شارع احمد شوقي،, Mustafa Kamel WA Bolkli, Sidi Gaber, Alexandria Governorate 5434042",https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%AC%D8%A7%D8%AA+%D8%A7%D9%84%D9%85%D8%AF%D9%86%D9%8A%D8%A9+%D9%84%D9%85%D8%B5%D8%A7%D9%86%D8%B9+%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%A7%D8%AC+%D8%A7%D9%84%D8%AD%D8%B1%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f5c5b8c6e6ede7:0x893eb8e411416cf5!8m2!3d31.2263683!4d29.9472442!16s%2Fg%2F11r5k7m2mt!19sChIJ5-3mxrjF9RQR9WxBEeS4Pok?authuser=0&hl=en&rclk=1
Tio,"Victor Emanouil Al Thaleth, Ezbet Saad, Sidi Gaber, Alexandria Governorate 21648",https://www.google.com/maps/place/Tio/data=!4m7!3m6!1s0x14f5c5c81906e6c5:0xed3cc7064b91276d!8m2!3d31.2205968!4d29.9478143!16s%2Fg%2F11sqk7xtdy!19sChIJxeYGGcjF9RQRbSeRSwbHPO0?authuser=0&hl=en&rclk=1
Mohamed ahmed abdelsalam,"6XRW+3HC, بدر، السيوف قبلي (تشمل عزبة درباÙ، قسم المنتزه، الإسكندرية،،, As Soyouf Qebli (Include Izbat Derbanah), Montaza 1, Alexandria Governorat",https://www.google.com/maps/place/Mohamed+ahmed+abdelsalam/data=!4m7!3m6!1s0x14f5db3319443ff3:0x7d13dbbf29d6f4b3!8m2!3d31.2401894!4d29.9963989!16s%2Fg%2F11kkx5jj5n!19sChIJ8z9EGTPb9RQRs_TWKb_bE30?authuser=0&hl=en&rclk=1
مول الشرقاوي,"24 Bort Said, Dana Al Gadidah WA Izbat Al Westaneyah, El Raml 2, Alexandria Governorate 5448620",https://www.google.com/maps/place/%D9%85%D9%88%D9%84+%D8%A7%D9%84%D8%B4%D8%B1%D9%82%D8%A7%D9%88%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x14f5db9902565747:0x92c97555e186e230!8m2!3d31.2405012!4d29.9834073!16s%2Fg%2F11g044r3d4!19sChIJR1dWApnb9RQRMOKG4VV1yZI?authuser=0&hl=en&rclk=1
National Mall Salah al-Din,"5VRX+3F2, العطارين-شارع صلاح الدين-مول, حارة الوطنية، Alexandria Governorat",https://www.google.com/maps/place/National+Mall+Salah+al-Din/data=!4m7!3m6!1s0x14f5c3c21c4738b7:0x55874298ee8cfeb9!8m2!3d31.1901431!4d29.8986306!16s%2Fg%2F11c6_gwbty!19sChIJtzhHHMLD9RQRuf6M7phCh1U?authuser=0&hl=en&rclk=1
El Toka,"6XQP+4VJ, Dana Al Gadidah WA Izbat Al Westaneyah, Qesm AR Ramel, Alexandria Governorate 5448551",https://www.google.com/maps/place/El+Toka/data=!4m7!3m6!1s0x14f5dada425d99b3:0xbc0b7df4a9ef482f!8m2!3d31.2378252!4d29.9871286!16s%2Fg%2F1tfnk51w!19sChIJs5ldQtra9RQRL0jvqfR9C7w?authuser=0&hl=en&rclk=1
المنتزه مول,"72J7+7RG، Infront of Montazah royal gradens gate، Branched from Malk Hafni, Al Mandarah، Bahry,Al Montazah، Alexandria Governorat",https://www.google.com/maps/place/%D8%A7%D9%84%D9%85%D9%86%D8%AA%D8%B2%D9%87+%D9%85%D9%88%D9%84%E2%80%AD/data=!4m7!3m6!1s0x14f5d063ff3eec33:0xd91e7190fce64269!8m2!3d31.2806875!4d30.0145816!16s%2Fg%2F11c52_g93k!19sChIJM-w-_2PQ9RQRaULm_JBxHtk?authuser=0&hl=en&rclk=1
